sprite1,19,66,219,322
sprite2,311,66,219,320
sprite3,615,68,215,320
sprite4,903,68,218,321
sprite5,1322,68,32,1
sprite6,1629,68,23,1
sprite7,1210,70,220,319
sprite8,1518,70,219,320
sprite23,20,415,195,324
sprite24,314,415,194,327
sprite25,614,415,195,322
sprite26,902,415,194,322
sprite27,1208,415,194,322
sprite28,1517,415,195,322
sprite46,25,763,204,304
sprite47,624,763,213,304
sprite48,1221,763,209,302
sprite50,323,764,213,305
sprite54,911,764,215,304
sprite59,1522,769,201,297
sprite61,1431,940,1,6
sprite64,837,950,1,3
sprite67,1521,1020,1,2
sprite72,37,1105,215,318
sprite73,322,1127,208,295
sprite74,609,1142,240,281
sprite75,899,1179,253,244
sprite77,1201,1266,308,166
sprite78,1578,1272,306,167
sprite90,906,1463,195,344
sprite91,625,1465,199,343
sprite92,1240,1465,194,344
sprite93,36,1474,216,329
sprite95,1531,1478,196,348
sprite96,300,1483,279,324
sprite107,910,1834,218,348
sprite111,1540,1838,218,340
sprite112,624,1841,223,342
sprite113,32,1843,221,339
sprite114,308,1843,222,340
sprite115,1247,1843,222,341
